Column,title,date_created,keywords,media_type,description,nasa_id,links
0,NASA Administrator Bill Nelson | Answering Climate Change from Above,2024-09-30,NASA,video,NASA Administrator Bill Nelson speaks to the power of NASA’s climate-related data to help the world understand climate change and take action.   “The challenge of the climate crisis is here and now. Let’s answer it—from above.”    Most of what humanity knows about our changing planet comes from NASA’s more than two-dozen satellites and instruments—and from the agency’s observations for over 60 years.,NASA Administrator Bill Nelson - Answering Climate Change from Above,https://images-assets.nasa.gov/video/NASA Administrator Bill Nelson - Answering Climate Change from Above/NASA Administrator Bill Nelson - Answering Climate Change from Above~large.jpg
,NASA Administrator Bill Nelson | Answering Climate Change from Above,2024-09-30,NASA Administrator Bill Nelson,,,,
,NASA Administrator Bill Nelson | Answering Climate Change from Above,2024-09-30,Climate Change,,,,
1,Is Climate Change the Same as Global Warming? We Asked A NASA Expert,2023-07-27,We Asked A NASA Expert,video,"Is climate change the same as global warming? They’re not exactly the same, but they are related. The warming of Earth — or global warming — is just one factor that makes up a range of changes that are happening to our planet, which is climate change. NASA scientist Dr. Yolanda Shea explains more.",Is Climate Change the Same as Global Warming_ - Horizontal Video,https://images-assets.nasa.gov/video/Is Climate Change the Same as Global Warming_ - Horizontal Video/Is Climate Change the Same as Global Warming_ - Horizontal Video~large.jpg
,Is Climate Change the Same as Global Warming? We Asked A NASA Expert,2023-07-27,Climate Change,,,,
,Is Climate Change the Same as Global Warming? We Asked A NASA Expert,2023-07-27,Global Warming,,,,
,Is Climate Change the Same as Global Warming? We Asked A NASA Expert,2023-07-27,Earth,,,,
,Is Climate Change the Same as Global Warming? We Asked A NASA Expert,2023-07-27,Greenhouse Gases,,,,
2,Ask A Climate Scientist - Climate Change and Humans,2013-12-03,Precipitation,video,"How does climate change affect humans? That's the question we asked Tom Wagner, Program Scientist for Cryospheric Research at NASA. In four different ways, he says, from rainfall patterns and sea levels rising to food production and ocean acidification. First, ""as the planet warms up, we're going to redistribute rainfall, which is going to affect our water resources and parts of North America may get a lot drier.""  Second, ""as the polar ice melts, sea levels are going to rise."" The world's major cities, and a lot of people, are right on the coasts and rising sea levels are going to impact them.  Third, thinking about food, the ""distributions where we can grow food are going to change as the planet warms up."" So the range over which you can grow corn and other crops will change.  Fourth, says Tom Wagner, ""the oceans are going to get more acidic as more CO2 dissolves in them."" There are untold ramifications from that, including the possibility of radically altering the food web in the ocean, ""which can affect everything from the composition of the atmosphere to the ability of the oceans to provide food for us.""",GSFC_20131203_AACS_m11426_Affect_Humans,https://images-assets.nasa.gov/video/GSFC_20131203_AACS_m11426_Affect_Humans/GSFC_20131203_AACS_m11426_Affect_Humans~large.jpg
,Ask A Climate Scientist - Climate Change and Humans,2013-12-03,Sea Level Rise,,,,
,Ask A Climate Scientist - Climate Change and Humans,2013-12-03,Climate Change,,,,
,Ask A Climate Scientist - Climate Change and Humans,2013-12-03,Food Supply,,,,
,Ask A Climate Scientist - Climate Change and Humans,2013-12-03,Earth,,,,
3,NASA Scientists Help Citites Prepare for Climate Change,2016-11-16,Earth,video,"Researchers and city officials from two of the world’s major metropolises, New York City and Rio de Janeiro, are coming together to share their insights and solutions against specific climate risks afflicting both their cities— sea level rise, increased temperatures and changes in water quality.",GSFC_20161116_Climate_m12426_Change,https://images-assets.nasa.gov/video/GSFC_20161116_Climate_m12426_Change/GSFC_20161116_Climate_m12426_Change~large.jpg
,NASA Scientists Help Citites Prepare for Climate Change,2016-11-16,Landsat,,,,
,NASA Scientists Help Citites Prepare for Climate Change,2016-11-16,New York City,,,,
,NASA Scientists Help Citites Prepare for Climate Change,2016-11-16,Earth Science,,,,
,NASA Scientists Help Citites Prepare for Climate Change,2016-11-16,Climate Change,,,,
,NASA Scientists Help Citites Prepare for Climate Change,2016-11-16,MODIS,,,,
4,Ask A Climate Scientist - Food Production,2013-09-18,Climate Change,video,"Will climate change drastically reduce our food production, or will it change what we produce? This question was posed to Goddard Space Flight Center's Molly Brown as part of NASA's Ask A Climate Scientist campaign.",GSFC_20130918_AACS_m11356_Food,https://images-assets.nasa.gov/video/GSFC_20130918_AACS_m11356_Food/GSFC_20130918_AACS_m11356_Food~large.jpg
,Ask A Climate Scientist - Food Production,2013-09-18,Food Supply,,,,
,Ask A Climate Scientist - Food Production,2013-09-18,Earth,,,,
